statement_id,account_id,customer_id,country_code,legal_entity,full_name,customer_segment,statement_month,statement_date,opening_balance,closing_balance,total_spend,total_credits,total_fees,minimum_due,total_due,due_date,payment_status,credit_limit,available_credit,utilization_rate,transaction_count,interest_charged,created_at
STMT_00000001,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-01,2025-01-31,8484.95,9719.56,1064.91,0,169.7,291.59,9719.56,2025-02-21,overdue,22000.0,12280.44,0.4418,5,169.7,2025-01-31 23:59:00
STMT_00000002,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-02,2025-02-28,9452.97,10723.01,1080.98,0,189.06,321.69,10723.01,2025-03-21,paid_full,22000.0,11276.99,0.4874,2,189.06,2025-02-28 23:59:00
STMT_00000003,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-03,2025-03-31,0.0,302.56,302.56,0,0.0,50.0,302.56,2025-04-21,paid_minimum,22000.0,21697.44,0.0138,3,0.0,2025-03-31 23:59:00
STMT_00000004,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-04,2025-04-30,252.56,1849.49,1591.88,0,5.05,55.48,1849.49,2025-05-21,paid_full,22000.0,20150.51,0.0841,7,5.05,2025-04-30 23:59:00
STMT_00000005,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-05,2025-05-31,0.0,1453.77,1453.77,0,0.0,50.0,1453.77,2025-06-21,paid_partial,22000.0,20546.23,0.0661,6,0.0,2025-05-31 23:59:00
STMT_00000006,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-06,2025-06-30,82.87,1075.3,990.77,0,1.66,50.0,1075.3,2025-07-21,paid_minimum,22000.0,20924.7,0.0489,5,1.66,2025-06-30 23:59:00
STMT_00000007,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-07,2025-07-31,1025.3,1742.16,696.35,0,20.51,52.26,1742.16,2025-08-21,paid_partial,22000.0,20257.84,0.0792,4,20.51,2025-07-31 23:59:00
STMT_00000008,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-08,2025-08-31,1058.53,1548.84,469.14,0,21.17,50.0,1548.84,2025-09-21,paid_partial,22000.0,20451.16,0.0704,3,21.17,2025-08-31 23:59:00
STMT_00000009,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-09,2025-09-30,441.27,943.48,493.38,0,8.83,50.0,943.48,2025-10-21,overdue,22000.0,21056.52,0.0429,2,8.83,2025-09-30 23:59:00
STMT_00000010,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-10,2025-10-31,918.48,2845.5,1908.65,0,18.37,85.36,2845.5,2025-11-21,paid_partial,22000.0,19154.5,0.1293,7,18.37,2025-10-31 23:59:00
STMT_00000011,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-11,2025-11-30,518.38,1783.33,1254.58,0,10.37,53.5,1783.33,2025-12-21,paid_full,22000.0,20216.67,0.0811,7,10.37,2025-11-30 23:59:00
STMT_00000012,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-12,2025-12-31,0.0,1457.22,1457.22,0,0.0,50.0,1457.22,2026-01-21,paid_minimum,22000.0,20542.78,0.0662,6,0.0,2025-12-31 23:59:00
STMT_00000013,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-01,2025-01-31,121176.43,126948.57,4257.43,0,1514.71,3808.46,126948.57,2025-02-21,paid_full,186800.0,59851.43,0.6796,26,1514.71,2025-01-31 23:59:00
STMT_00000014,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-02,2025-02-28,0.0,3526.23,3526.23,0,0.0,105.79,3526.23,2025-03-21,paid_full,186800.0,183273.77,0.0189,22,0.0,2025-02-28 23:59:00
STMT_00000015,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-03,2025-03-31,0.0,4322.55,4322.55,0,0.0,129.68,4322.55,2025-04-21,paid_partial,186800.0,182477.45,0.0231,22,0.0,2025-03-31 23:59:00
STMT_00000016,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-04,2025-04-30,1253.44,6339.06,5069.95,0,15.67,190.17,6339.06,2025-05-21,paid_full,186800.0,180460.94,0.0339,24,15.67,2025-04-30 23:59:00
STMT_00000017,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-05,2025-05-31,0.0,2158.41,2158.41,0,0.0,64.75,2158.41,2025-06-21,paid_minimum,186800.0,184641.59,0.0116,22,0.0,2025-05-31 23:59:00
STMT_00000018,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-06,2025-06-30,2093.66,7077.49,4957.66,0,26.17,212.32,7077.49,2025-07-21,paid_full,186800.0,179722.51,0.0379,26,26.17,2025-06-30 23:59:00
STMT_00000019,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-07,2025-07-31,0.0,5163.77,5163.77,0,0.0,154.91,5163.77,2025-08-21,paid_full,186800.0,181636.23,0.0276,21,0.0,2025-07-31 23:59:00
STMT_00000020,ACC_0000002,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2025-08,2025-08-31,0.0,4727.9,4727.9,0,0.0,141.84,4727.9,2025-09-21,paid_full,186800.0,182072.1,0.0253,22,0.0,2025-08-31 23:59:00
