snapshot_month,customer_id,country_code,legal_entity,full_name,customer_segment,total_accounts,total_credit_limit,total_balance,total_available,avg_utilization,highest_util_account,currency_code,created_at
2025-01,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,1,22000.0,9719.56,12280.44,0.4418,ACC_0000001,SGD,2025-12-31 23:59:59
2025-01,CUST_000002,SG,SG_BANK,Cheng Ong,premium,1,186800.0,126948.57,59851.43,0.6796,ACC_0000002,SGD,2025-12-31 23:59:59
2025-01,CUST_000003,SG,SG_BANK,Jian Lee,mass,2,41900.0,19820.8,22079.2,0.4731,ACC_0000004,SGD,2025-12-31 23:59:59
2025-01,CUST_000004,SG,SG_BANK,Hong Ong,mass,1,45500.0,22222.75,23277.25,0.4884,ACC_0000005,SGD,2025-12-31 23:59:59
2025-01,CUST_000005,SG,SG_BANK,Jing Ho,mass,1,27600.0,10629.43,16970.57,0.3851,ACC_0000006,SGD,2025-12-31 23:59:59
2025-01,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,mass,2,33700.0,20621.44,13078.56,0.6119,ACC_0000008,SGD,2025-12-31 23:59:59
2025-01,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,mass,2,77000.0,19713.25,57286.75,0.256,ACC_0000009,SGD,2025-12-31 23:59:59
2025-01,CUST_000008,SG,SG_BANK,Nurul binte Salleh,mass,2,49500.0,18193.4,31306.6,0.3675,ACC_0000012,SGD,2025-12-31 23:59:59
2025-01,CUST_000009,SG,SG_BANK,Yong Sim,mass,2,43500.0,22661.32,20838.68,0.5209,ACC_0000014,SGD,2025-12-31 23:59:59
2025-01,CUST_000010,SG,SG_BANK,Ming Yeo,affluent,1,57000.0,19168.0,37832.0,0.3363,ACC_0000015,SGD,2025-12-31 23:59:59
2025-01,CUST_000011,SG,SG_BANK,Yan Sim,mass,1,15200.0,8022.77,7177.23,0.5278,ACC_0000016,SGD,2025-12-31 23:59:59
2025-01,CUST_000012,SG,SG_BANK,Rashid bin Hassan,affluent,1,40200.0,14815.53,25384.47,0.3685,ACC_0000017,SGD,2025-12-31 23:59:59
2025-01,CUST_000013,SG,SG_BANK,Hui Phua,mass,1,33300.0,18137.72,15162.28,0.5447,ACC_0000018,SGD,2025-12-31 23:59:59
2025-01,CUST_000014,SG,SG_BANK,Jian Teo,mass,2,11500.0,6649.75,4850.25,0.5782,ACC_0000019,SGD,2025-12-31 23:59:59
2025-01,CUST_000015,SG,SG_BANK,Muhammad bin Bakar,affluent,1,23700.0,8011.65,15688.35,0.338,ACC_0000021,SGD,2025-12-31 23:59:59
2025-01,CUST_000016,SG,SG_BANK,Hana binte Daud,mass,2,39300.0,22089.59,17210.41,0.5621,ACC_0000022,SGD,2025-12-31 23:59:59
2025-01,CUST_000017,SG,SG_BANK,Liyana binte Ghani,affluent,1,27700.0,10041.79,17658.21,0.3625,ACC_0000024,SGD,2025-12-31 23:59:59
2025-01,CUST_000018,SG,SG_BANK,Rashid bin Hassan,mass,1,23100.0,11935.22,11164.78,0.5167,ACC_0000025,SGD,2025-12-31 23:59:59
2025-01,CUST_000019,SG,SG_BANK,Fang Lau,affluent,1,41300.0,21192.54,20107.46,0.5131,ACC_0000026,SGD,2025-12-31 23:59:59
2025-01,CUST_000020,SG,SG_BANK,Hong Lee,affluent,1,27300.0,12290.13,15009.87,0.4502,ACC_0000027,SGD,2025-12-31 23:59:59
2025-01,CUST_000021,SG,SG_BANK,Fang Wong,premium,2,392400.0,243954.57,148445.43,0.6217,ACC_0000028,SGD,2025-12-31 23:59:59
2025-01,CUST_000022,SG,SG_BANK,Ling Heng,premium,1,147400.0,65709.15,81690.85,0.4458,ACC_0000030,SGD,2025-12-31 23:59:59
2025-01,CUST_000023,SG,SG_BANK,Kasim bin Bakar,mass,1,18600.0,8467.86,10132.14,0.4553,ACC_0000031,SGD,2025-12-31 23:59:59
2025-01,CUST_000024,SG,SG_BANK,Fang Sim,mass,1,11200.0,2936.65,8263.35,0.2622,ACC_0000032,SGD,2025-12-31 23:59:59
2025-01,CUST_000025,SG,SG_BANK,Iskandar bin Hassan,affluent,1,45300.0,20205.53,25094.47,0.446,ACC_0000033,SGD,2025-12-31 23:59:59
2025-01,CUST_000026,SG,SG_BANK,Ming Goh,affluent,2,85300.0,33404.66,51895.34,0.3916,ACC_0000035,SGD,2025-12-31 23:59:59
