card_id,account_id,customer_id,country_code,legal_entity,card_type,card_scheme,card_number_hash,card_tier,issued_date,expiry_date,card_status,is_primary_card,daily_limit,international_enabled,contactless_enabled,created_at,updated_at
CRD_0000001,ACC_0000001,CUST_000001,SG,SG_BANK,credit,MASTERCARD,22a9328f2756871232685f2b61bc0a5c6d7424c98876524f1af5509aafc78e94,Standard,2023-02-21,2026-02-28,active,1,6600.0,0,1,2023-02-21 09:00:00,2025-12-31 23:59:59
CRD_0000002,ACC_0000002,CUST_000002,SG,SG_BANK,credit,MASTERCARD,74520cec77d4df1dba5998d7ce6e48b5f84df0fbf499daddb9c11486faf1cd51,World,2022-08-10,2025-08-28,expired,1,56040.0,1,1,2022-08-10 09:00:00,2025-12-31 23:59:59
CRD_0000003,ACC_0000003,CUST_000003,SG,SG_BANK,credit,MASTERCARD,41e382c888411ce10b570b5eadd23b3ccbc59af6d77835374533d505ec0e30f1,Standard,2022-09-23,2027-09-28,active,1,5280.0,0,1,2022-09-23 09:00:00,2025-12-31 23:59:59
CRD_0000004,ACC_0000004,CUST_000003,SG,SG_BANK,credit,MASTERCARD,6ff487d5e4acc53d27a3a53533ff3e7a564a72ef14f7f7928bf97891d4f80832,Standard,2021-07-25,2026-07-28,active,1,7290.0,0,1,2021-07-25 09:00:00,2025-12-31 23:59:59
CRD_0000005,ACC_0000005,CUST_000004,SG,SG_BANK,credit,VISA,90cd0759a5ccc1d92dea3f10beafdae12491d58fed3bfdd501b9463631246252,Classic,2020-10-16,2023-10-28,expired,1,13650.0,1,1,2020-10-16 09:00:00,2025-12-31 23:59:59
CRD_0000006,ACC_0000006,CUST_000005,SG,SG_BANK,credit,VISA,5d79819153854fd4e41cffea7f9c435ea5489fe87b4d0634d165d63eeba2e00e,Classic,2022-04-15,2027-04-28,active,1,8280.0,0,1,2022-04-15 09:00:00,2025-12-31 23:59:59
CRD_0000007,ACC_0000007,CUST_000006,SG,SG_BANK,credit,VISA,82429b7a33b1d4a3948777a2501d9aa7502318823a736d611ac71a811edc51fc,Classic,2020-06-21,2025-06-28,expired,1,3720.0,1,1,2020-06-21 09:00:00,2025-12-31 23:59:59
CRD_0000008,ACC_0000008,CUST_000006,SG,SG_BANK,credit,VISA,967ffebb4a91410c7e14512afe65c5cd18ad6eb51dd4c62fb436c4c25bb7df26,Classic,2021-09-08,2026-09-28,active,1,6390.0,1,1,2021-09-08 09:00:00,2025-12-31 23:59:59
CRD_0000009,ACC_0000009,CUST_000007,SG,SG_BANK,credit,MASTERCARD,93281947349baa3a8f79d86721083aefe15a0e56ffb815fd2cbb83788cfb8af3,Standard,2023-07-17,2028-07-28,active,1,9000.0,0,1,2023-07-17 09:00:00,2025-12-31 23:59:59
CRD_0000010,ACC_0000010,CUST_000007,SG,SG_BANK,credit,VISA,e46b3bb6eb46d74b23e2ba8428e9f1a3a23439c051c7945eea372c2dda254aa8,Classic,2020-07-09,2023-07-28,expired,1,14100.0,0,1,2020-07-09 09:00:00,2025-12-31 23:59:59
CRD_0000011,ACC_0000011,CUST_000008,SG,SG_BANK,credit,VISA,1414b9e9fc12bfc8c17fa5faf2937f32e82bd3896542b63cc2921cdbbd6c1427,Classic,2020-03-17,2023-03-28,expired,1,4830.0,0,1,2020-03-17 09:00:00,2025-12-31 23:59:59
CRD_0000012,ACC_0000012,CUST_000008,SG,SG_BANK,credit,MASTERCARD,64de2b034d8314f3b87c4bec6327c8c8cef34121d986f67a7b58c4fb59c5ace4,Standard,2022-02-11,2025-02-28,expired,1,10020.0,0,1,2022-02-11 09:00:00,2025-12-31 23:59:59
CRD_0000013,ACC_0000013,CUST_000009,SG,SG_BANK,credit,MASTERCARD,1c18ffc57cd622839f6532c498d090c4ae23aabd147f6a471999ca7968acdecd,Standard,2023-07-21,2026-07-28,active,1,6630.0,1,1,2023-07-21 09:00:00,2025-12-31 23:59:59
CRD_0000014,ACC_0000014,CUST_000009,SG,SG_BANK,credit,VISA,39ec9b519f520249d9142c0de56f0e8e52b995c053e145e9a96cfe8d235449e3,Classic,2024-09-03,2027-09-28,active,1,6420.0,0,1,2024-09-03 09:00:00,2025-12-31 23:59:59
CRD_0000015,ACC_0000015,CUST_000010,SG,SG_BANK,credit,MASTERCARD,e46053e0925767f3b0911a956b5f264e5bfbbeb2cc63eb19a3545dfb7f929899,Gold,2024-05-25,2027-05-28,active,1,17100.0,1,1,2024-05-25 09:00:00,2025-12-31 23:59:59
CRD_0000016,ACC_0000016,CUST_000011,SG,SG_BANK,credit,VISA,56597100146f6f76ea9b42db49d175657a009855ca1da378abec4338d78e3cd7,Classic,2021-03-02,2026-03-28,active,1,4560.0,0,1,2021-03-02 09:00:00,2025-12-31 23:59:59
CRD_0000017,ACC_0000017,CUST_000012,SG,SG_BANK,credit,MASTERCARD,78efdda18fb3f6c56bd0e1312b0bfccee7ee1ad065302cf2392d61a56a268875,Gold,2022-05-16,2025-05-28,expired,1,12060.0,1,1,2022-05-16 09:00:00,2025-12-31 23:59:59
CRD_0000018,ACC_0000018,CUST_000013,SG,SG_BANK,credit,MASTERCARD,33305af252a462034e91a4f0ce71d043933377e84f3885a05b9c5b33b4845c96,Standard,2021-02-07,2024-02-28,expired,1,9990.0,0,1,2021-02-07 09:00:00,2025-12-31 23:59:59
CRD_0000019,ACC_0000019,CUST_000014,SG,SG_BANK,credit,VISA,f29d1c8889fb87442c94b75090fa36380ee040d0c27d301e9adaf1c336401502,Classic,2020-06-07,2025-06-28,expired,1,1020.0,0,1,2020-06-07 09:00:00,2025-12-31 23:59:59
