as_of_date,customer_id,country_code,legal_entity,full_name,first_name,last_name,customer_segment,risk_rating,kyc_status,age,age_band,credit_score,credit_band,primary_account_id,account_type,current_balance,available_balance,credit_limit,utilization_pct,total_accounts,mtd_spend,last_month_spend,spend_change_pct,top_spend_category,payment_status,total_due,days_to_due,is_overdue,consecutive_late,active_fraud_alerts,currency_code,created_at
2025-12-31,CUST_000001,SG,SG_BANK,Liyana binte Hassan,Liyana,binte Hassan,mass,medium,verified,36,36-45,668,fair,ACC_0000001,credit_card,8484.95,13515.05,22000.0,0.3857,1,1457.22,1254.58,0.1615,travel_transport,paid_minimum,1457.22,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000002,SG,SG_BANK,Cheng Ong,Cheng,Ong,premium,low,verified,39,36-45,704,good,ACC_0000002,credit_card,121176.43,65623.57,186800.0,0.6487,1,6844.05,3912.68,0.7492,travel_transport,paid_full,15586.18,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000003,SG,SG_BANK,Jian Lee,Jian,Lee,mass,medium,verified,36,36-45,650,fair,ACC_0000003,credit_card,5381.02,12218.98,17600.0,0.3057,2,1809.8,335.24,4.3985,travel_transport,paid_full,1210.8,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000004,SG,SG_BANK,Hong Ong,Hong,Ong,mass,low,verified,25,18-25,734,good,ACC_0000005,credit_card,21106.46,24393.54,45500.0,0.4639,1,2220.28,237.42,8.3517,travel_transport,paid_partial,2346.55,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000005,SG,SG_BANK,Jing Ho,Jing,Ho,mass,medium,pending,36,36-45,720,good,ACC_0000006,credit_card,10055.85,17544.15,27600.0,0.3643,1,1330.23,1519.89,-0.1248,travel_transport,paid_partial,1330.23,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000006,SG,SG_BANK,Wani binte Ibrahim,Wani,binte Ibrahim,mass,low,verified,29,26-35,747,very_good,ACC_0000007,credit_card,5954.83,6445.17,12400.0,0.4802,2,2166.51,2534.16,-0.1451,travel_transport,paid_minimum,510.48,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000007,SG,SG_BANK,Iskandar bin Ghani,Iskandar,bin Ghani,mass,low,verified,41,36-45,804,excellent,ACC_0000009,credit_card,7769.46,22230.54,30000.0,0.259,2,1304.01,801.68,0.6266,travel_transport,paid_minimum,2174.47,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000008,SG,SG_BANK,Nurul binte Salleh,Nurul,binte Salleh,mass,low,verified,50,46-55,738,good,ACC_0000011,credit_card,4563.83,11536.17,16100.0,0.2835,2,1681.47,2837.91,-0.4075,grocery,paid_full,1564.72,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000009,SG,SG_BANK,Yong Sim,Yong,Sim,mass,low,verified,37,36-45,770,very_good,ACC_0000013,credit_card,8342.28,13757.72,22100.0,0.3775,2,405.74,2591.04,-0.8434,travel_transport,paid_full,904.61,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000010,SG,SG_BANK,Ming Yeo,Ming,Yeo,affluent,low,verified,57,56-65,703,good,ACC_0000015,credit_card,16436.58,40563.42,57000.0,0.2884,1,986.38,2108.09,-0.5321,entertainment,paid_full,986.38,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000011,SG,SG_BANK,Yan Sim,Yan,Sim,mass,low,verified,31,26-35,695,good,ACC_0000016,credit_card,5461.2,9738.8,15200.0,0.3593,1,1395.22,1077.1,0.2953,retail_shopping,paid_full,1395.22,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000012,SG,SG_BANK,Rashid bin Hassan,Rashid,bin Hassan,affluent,low,verified,59,56-65,813,excellent,ACC_0000017,credit_card,11368.41,28831.59,40200.0,0.2828,1,2835.54,2383.96,0.1894,travel_transport,paid_full,3052.96,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000013,SG,SG_BANK,Hui Phua,Hui,Phua,mass,low,verified,35,26-35,742,very_good,ACC_0000018,credit_card,17756.12,15543.88,33300.0,0.5332,1,351.53,922.16,-0.6188,travel_transport,paid_partial,461.51,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000014,SG,SG_BANK,Jian Teo,Jian,Teo,mass,medium,pending,60,56-65,685,good,ACC_0000019,credit_card,2095.26,1304.74,3400.0,0.6163,2,2494.65,2187.16,0.1406,retail_shopping,paid_full,2702.9,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000015,SG,SG_BANK,Muhammad bin Bakar,Muhammad,bin Bakar,affluent,low,verified,31,26-35,712,good,ACC_0000021,credit_card,6120.08,17579.92,23700.0,0.2582,1,4110.99,3393.84,0.2113,retail_shopping,overdue,6445.5,21,1,0,1,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000016,SG,SG_BANK,Hana binte Daud,Hana,binte Daud,mass,high,verified,33,26-35,436,poor,ACC_0000022,credit_card,9424.83,7175.17,16600.0,0.5678,2,3324.29,1482.18,1.2428,retail_shopping,overdue,2234.59,21,1,0,2,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000017,SG,SG_BANK,Liyana binte Ghani,Liyana,binte Ghani,affluent,low,enhanced_due_diligence,26,26-35,817,excellent,ACC_0000024,credit_card,7637.35,20062.65,27700.0,0.2757,1,1869.97,987.57,0.8935,retail_shopping,paid_full,1869.97,21,0,0,0,SGD,2025-12-31 23:59:59
2025-12-31,CUST_000018,SG,SG_BANK,Rashid bin Hassan,Rashid,bin Hassan,mass,low,verified,38,36-45,730,good,ACC_0000025,credit_card,10287.48,12812.52,23100.0,0.4453,1,1781.91,721.62,1.4693,travel_transport,paid_partial,2267.85,21,0,0,0,SGD,2025-12-31 23:59:59
