as_of_date,account_id,customer_id,country_code,legal_entity,full_name,customer_segment,statement_month,due_date,days_to_due,minimum_due,total_due,amount_paid,amount_outstanding,payment_status,overdue_days,overdue_bucket,consecutive_late,late_fee,interest_at_risk,is_giro_enrolled,preferred_method,currency_code,created_at
2025-01-31,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-01,2025-02-21,21,291.59,9719.56,291.59,9427.97,overdue,17,1-30 days,0,25.0,141.42,0,giro,SGD,2025-12-31 23:59:59
2025-02-28,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-02,2025-03-21,21,321.69,10723.01,10723.01,0.0,paid_full,0,current,0,0.0,0.0,0,giro,SGD,2025-12-31 23:59:59
2025-03-31,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-03,2025-04-21,21,50.0,302.56,50.0,252.56,paid_minimum,0,current,0,0.0,3.79,0,giro,SGD,2025-12-31 23:59:59
2025-04-30,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-04,2025-05-21,21,55.48,1849.49,1849.49,0.0,paid_full,0,current,0,0.0,0.0,0,giro,SGD,2025-12-31 23:59:59
2025-05-31,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-05,2025-06-21,21,50.0,1453.77,1370.9,82.87,paid_partial,0,current,0,0.0,1.24,0,giro,SGD,2025-12-31 23:59:59
2025-06-30,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-06,2025-07-21,21,50.0,1075.3,50.0,1025.3,paid_minimum,0,current,0,0.0,15.38,0,giro,SGD,2025-12-31 23:59:59
2025-07-31,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-07,2025-08-21,21,52.26,1742.16,683.63,1058.53,paid_partial,0,current,0,0.0,15.88,0,giro,SGD,2025-12-31 23:59:59
2025-08-31,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-08,2025-09-21,21,50.0,1548.84,1107.57,441.27,paid_partial,0,current,0,0.0,6.62,0,giro,SGD,2025-12-31 23:59:59
2025-09-30,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-09,2025-10-21,21,50.0,943.48,50.0,893.48,overdue,34,31-60 days,0,25.0,13.4,0,giro,SGD,2025-12-31 23:59:59
2025-10-31,ACC_0000001,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,2025-10,2025-11-21,21,85.36,2845.5,2327.12,518.38,paid_partial,0,current,0,0.0,7.78,1,giro,SGD,2025-12-31 23:59:59
