spend_month,customer_id,country_code,legal_entity,full_name,customer_segment,total_spend,food_dining,retail_shopping,travel_transport,healthcare,entertainment,utilities,grocery,hotel,fuel,other_spend,transaction_count,avg_txn_amount,top_category,top_merchant,mom_spend_change_pct,currency_code,created_at
2025-01,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,1064.91,0.0,0.0,0.0,0.0,75.07,335.8,654.04,0.0,0.0,0.0,5,212.98,grocery,NTUC FairPrice,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,1080.98,0.0,0.0,1080.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,540.49,travel_transport,Grab Transport SG,0.0151,SGD,2025-12-31 23:59:59
2025-03,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,302.56,80.14,0.0,0.0,0.0,0.0,222.42,0.0,0.0,0.0,0.0,3,100.85,utilities,Singtel,-0.7201,SGD,2025-12-31 23:59:59
2025-04,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,1591.88,81.49,628.89,268.07,0.0,0.0,348.45,264.98,0.0,0.0,0.0,7,227.41,retail_shopping,Charles & Keith,4.2614,SGD,2025-12-31 23:59:59
2025-05,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,1453.77,77.63,87.76,732.04,446.51,0.0,0.0,0.0,0.0,109.83,0.0,6,242.3,travel_transport,Scoot,-0.0868,SGD,2025-12-31 23:59:59
2025-06,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,990.77,0.0,333.89,447.77,0.0,8.64,92.96,107.51,0.0,0.0,0.0,5,198.15,travel_transport,Singapore Airlines,-0.3185,SGD,2025-12-31 23:59:59
2025-07,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,696.35,0.0,345.03,351.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,174.09,travel_transport,ZALORA Singapore,-0.2972,SGD,2025-12-31 23:59:59
2025-08,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,469.14,0.0,0.0,288.57,0.0,93.47,0.0,87.1,0.0,0.0,0.0,3,156.38,travel_transport,Grab Transport SG,-0.3263,SGD,2025-12-31 23:59:59
2025-09,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,493.38,0.0,0.0,0.0,0.0,0.0,330.05,163.33,0.0,0.0,0.0,2,246.69,utilities,Singtel,0.0517,SGD,2025-12-31 23:59:59
2025-10,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,1908.65,30.52,358.05,428.01,422.52,324.94,344.61,0.0,0.0,0.0,0.0,7,272.66,travel_transport,Booking.com,2.8685,SGD,2025-12-31 23:59:59
2025-11,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,1254.58,242.95,0.0,769.34,0.0,19.71,0.0,222.58,0.0,0.0,0.0,7,179.23,travel_transport,Scoot,-0.3427,SGD,2025-12-31 23:59:59
2025-12,CUST_000001,SG,SG_BANK,Liyana binte Hassan,mass,1457.22,9.53,0.0,797.45,138.23,0.0,300.78,211.23,0.0,0.0,0.0,6,242.87,travel_transport,Scoot,0.1615,SGD,2025-12-31 23:59:59
2025-01,CUST_000002,SG,SG_BANK,Cheng Ong,premium,4257.43,611.2,614.35,1887.75,203.63,268.8,262.18,193.99,0.0,215.53,0.0,26,163.75,travel_transport,Scoot,0.0,SGD,2025-12-31 23:59:59
2025-02,CUST_000002,SG,SG_BANK,Cheng Ong,premium,3526.23,441.45,1548.23,1114.56,0.0,174.31,86.4,37.03,0.0,124.25,0.0,22,160.28,retail_shopping,Sephora Singapore,-0.1717,SGD,2025-12-31 23:59:59
2025-03,CUST_000002,SG,SG_BANK,Cheng Ong,premium,4322.55,242.42,478.26,1368.62,1207.27,18.15,528.62,223.3,0.0,132.71,123.2,22,196.48,travel_transport,Grab Transport SG,0.2258,SGD,2025-12-31 23:59:59
2025-04,CUST_000002,SG,SG_BANK,Cheng Ong,premium,5069.95,227.72,2537.81,480.98,0.0,0.0,886.65,823.79,0.0,113.0,0.0,24,211.25,retail_shopping,Charles & Keith,0.1729,SGD,2025-12-31 23:59:59
2025-05,CUST_000002,SG,SG_BANK,Cheng Ong,premium,2158.41,595.1,96.71,456.39,76.59,65.86,53.23,439.87,0.0,225.11,149.55,22,98.11,food_dining,Grab Transport SG,-0.5743,SGD,2025-12-31 23:59:59
2025-06,CUST_000002,SG,SG_BANK,Cheng Ong,premium,4957.66,203.8,1327.51,934.77,926.15,593.25,516.97,338.08,0.0,117.13,0.0,26,190.68,retail_shopping,ComfortDelGro,1.2969,SGD,2025-12-31 23:59:59
