card_id,account_id,card_number_hash,expiration_date,cvv_hash,issued_date,status,created_at
CARD_000000,ACC_000000,60492B11103E8150,2028-02-17,8513E507,2024-11-16,active,2025-10-26 13:37:12.908003
CARD_000001,ACC_000001,4C22745BCC03E205,2026-12-31,9C3580AF,2024-05-29,active,2025-11-23 01:29:49.897238
CARD_000002,ACC_000002,F07AE71B512422FF,2027-09-10,E4BA4720,2024-10-19,active,2024-07-09 11:16:55.674059
CARD_000003,ACC_000003,D3E7B90296CCB83F,2028-08-16,F2A737FB,2024-09-02,active,2025-04-08 16:37:06.909720
CARD_000004,ACC_000004,33205546AB0450F0,2028-04-26,D3658C71,2024-01-06,active,2025-11-01 11:23:47.041757
CARD_000005,ACC_000005,FDB624FFE2FB5371,2028-10-05,7D9F2EDF,2024-11-17,active,2026-02-06 18:25:33.005048
CARD_000006,ACC_000006,FBEE3B83F49CF2D6,2027-01-13,216F4B54,2024-10-07,active,2024-07-10 08:55:30.203598
CARD_000007,ACC_000007,9DB39BB60ED69ED3,2026-11-09,8BBE9674,2024-09-22,active,2024-06-14 02:01:47.769839
CARD_000008,ACC_000008,F9C0B6C272E85A5F,2029-06-04,572F8821,2024-02-20,active,2025-08-16 12:11:33.035216
CARD_000009,ACC_000009,0CD9CAC9C7AC3037,2027-08-02,32FBCDF5,2024-06-15,active,2025-04-25 08:53:23.692536
CARD_000010,ACC_000010,F8111AEF8298EE1C,2026-12-24,7725CB24,2024-11-16,active,2026-01-26 07:33:16.437125
CARD_000011,ACC_000011,4EA3932FB04183C3,2029-06-29,9F38A27A,2024-10-22,active,2025-02-28 16:09:42.157326
CARD_000012,ACC_000012,82BFA1A45D918D9D,2028-10-02,7EE46D50,2024-09-05,active,2024-06-07 02:09:19.045948
CARD_000013,ACC_000013,5171D5C1922D3846,2028-02-19,76A5F078,2024-12-28,active,2026-02-22 12:18:38.068688
CARD_000014,ACC_000014,D3DADF1666D84C14,2026-07-07,E0CB3831,2024-08-05,inactive,2024-04-26 12:38:08.883067
CARD_000015,ACC_000015,FF18FF19F72C0B9C,2026-08-28,0F8F225E,2024-01-03,active,2024-06-13 04:29:54.681325
