customer_id,first_name,last_name,email,phone,address_line1,address_line2,city,state,zip_code,country,date_of_birth,ssn_last4,income_band,customer_segment,credit_score,created_at
CUST_000000,Cheryl,Robbins,kimberly36@example.com,+1-724-213-8177x5830,60899 Medina Road,,West Kristina,MO,45307,US,1989-10-10,3316,25-50k,Silver,302,2025-09-18 00:40:26.369256
CUST_000001,Tyler,Ellis,suzannewilliams@example.net,778-207-5213x48888,0005 David Junctions,,Alexisburgh,HI,76433,US,1961-10-14,9208,<25k,Bronze,558,2024-10-07 22:20:25.991052
CUST_000002,Beth,Sanders,dianamaldonado@example.org,737-518-7682x7688,20374 Moyer Falls,,West Franktown,CT,03354,US,1970-04-28,9290,50-75k,Platinum,458,2025-04-22 23:09:45.001540
CUST_000003,William,Collins,crawfordjoshua@example.net,899-764-1824x4696,748 Franklin Hollow Apt. 906,,Griffithberg,NC,18354,US,1967-03-09,2641,50-75k,Bronze,603,2025-09-13 08:58:20.675064
CUST_000004,Annette,Bartlett,joshua68@example.org,001-281-381-5658x22285,70125 Ponce Inlet,,New Robertside,CT,44861,US,1991-03-08,2413,25-50k,Silver,828,2024-06-30 08:33:50.705128
CUST_000005,Grace,Sharp,jessica14@example.org,(856)821-0368,76180 Anna Spring,,Port Phillipmouth,WV,43735,US,2006-02-07,8677,75-100k,Platinum,660,2024-08-12 10:48:34.597268
CUST_000006,Andrew,Marshall,claytonaguirre@example.net,908-589-1495x31675,33793 Jones Court,Suite 877,Castillobury,IL,80977,US,1956-10-24,6306,50-75k,Platinum,322,2024-03-30 20:54:03.652897
CUST_000007,Christopher,Hunter,pstevens@example.net,+1-360-910-5204x74864,7456 Miller Stravenue Suite 041,,Smithstad,WA,75925,US,1996-01-12,6022,150k+,Gold,353,2024-01-26 14:59:36.294303
CUST_000008,Michele,Fischer,david35@example.org,(347)838-2078x8360,9803 Melendez Glens,,Pamelaview,NY,78321,US,2006-08-30,4763,50-75k,Platinum,650,2025-02-25 20:38:44.369290
CUST_000009,Pamela,Mcdaniel,angela25@example.net,001-790-990-5887x8841,6638 Veronica Lake Suite 654,Suite 181,Danielfurt,NE,75407,US,1980-03-21,2246,75-100k,Platinum,548,2025-08-13 08:59:10.634789
CUST_000010,Joshua,Hernandez,williambarajas@example.org,(536)593-2724x47545,124 Daniel Court Apt. 482,Suite 017,Danaport,MT,47575,US,1971-01-15,5967,100-150k,Platinum,410,2024-03-09 18:49:07.608889
